nw,completion_time
1,106437
2,59636
3,36772
4,27936
5,23813
6,19916
7,18884
8,16151
9,16412
10,14429
11,15361
12,14078
13,13917
14,15244
15,16443
16,13617
17,15743
18,14748
19,15135
20,13725
21,13790
22,14038
23,14933
24,14929
25,13203
26,10645
27,13192
28,14798
29,14847
30,12440
31,14623
32,14207
33,14869
34,14476
35,14593
36,13901
37,13948
38,13800
39,12972
40,13524
41,16825
42,15055
43,15068
44,14081
45,16537
46,13826
47,15575
48,13521
49,15424
50,15439
51,17278
52,17883
53,18357
54,16189
55,17696
56,16227
57,16276
58,16465
59,17123
60,16429
61,18678
62,16969
63,17528
64,18234
65,17117
66,17576
67,19731
68,18601
69,18915
70,18466
71,19879
72,20212
73,18619
74,18792
75,21443
76,21504
77,19243
78,19241
79,20312
80,18530
81,19677
82,19974
83,20291
84,22825
85,22111
86,22362
87,21885
88,20564
89,21572
90,18961
91,21102
92,21277
93,22865
94,22604
95,22195
96,21326
97,22498
98,23168
99,23086
100,23255
101,22583
102,21359
103,22481
104,21998
105,22660
106,22659
107,25824
108,22576
109,22491
110,27523
111,23074
112,24651
113,25702
114,26914
115,23712
116,26080
117,24304
118,25081
119,24980
120,26629
121,25503
122,29084
123,25584
124,25832
125,27738
126,25551
127,26473
128,25390
129,28148
130,26053
131,26306
132,27164
133,27061
134,29087
135,27721
136,27028
137,26270
138,27493
139,28472
140,27548
141,27707
142,30824
143,26384
144,30185
145,30461
146,30405
147,31209
148,29022
149,28889
150,31249
151,31286
152,32134
153,32028
154,32949
155,29359
156,31513
157,30754
158,32416
159,32784
160,31082
161,35033
162,31737
163,33744
164,31972
165,34418
166,36456
167,35236
168,35468
169,34459
170,36377
171,37426
172,36545
173,34128
174,36730
175,41670
176,35013
177,37036
178,39046
179,36148
180,38048
181,36706
182,39774
183,39153
184,39774
185,38498
186,37943
187,39384
188,38532
189,38360
190,40937
191,40892
192,40536
193,42343
194,41055
195,42593
196,46302
197,40798
198,44184
199,43125
200,48755
201,45854
202,45378
203,45113
204,42753
205,44237
206,43551
207,42538
208,44649
209,44487
210,47221
211,46465
212,45525
213,47046
214,48263
215,48149
216,46582
217,47320
218,49668
219,44904
220,49480
221,50100
222,48807
223,52771
224,55641
225,46993
226,51975
227,52377
228,48533
229,50425
230,49113
231,48933
232,50614
233,53705
234,51749
235,52440
236,50936
237,49361
238,53017
239,61642
240,54039
241,52385
242,58170
243,56460
244,55181
245,56145
246,53352
247,55522
248,54315
249,53791
250,56635
251,56117
252,58439
253,52836
254,55944
255,58485
256,55750
