nw,completion_time
1,16148108
2,8071252
3,5362126
4,4014513
5,3213670
6,2682702
7,2297817
8,2011151
9,1799896
10,1610648
11,1466464
12,1352197
13,1246510
14,1161314
15,1080421
16,1017667
17,952043
18,907277
19,864749
20,817937
21,779252
22,745368
23,713035
24,680946
25,653321
26,635692
27,613792
28,588816
29,570910
30,555544
31,535207
32,520228
33,505584
34,489306
35,473006
36,462437
37,454904
38,451246
39,439628
40,423591
41,415925
42,404294
43,395129
44,397272
45,378864
46,367741
47,369656
48,376157
49,354560
50,353518
51,347224
52,333119
53,330034
54,330390
55,317721
56,315884
57,314310
58,314010
59,299925
60,301663
61,291361
62,299708
63,304875
64,283125
65,289038
66,272505
67,269585
68,275964
69,276980
70,264919
71,254495
72,255060
73,254185
74,245786
75,242441
76,254097
77,252710
78,247996
79,255231
80,261800
81,237186
82,233637
83,248547
84,233890
85,238871
86,237982
87,243475
88,238550
89,225267
90,235558
91,229977
92,222201
93,223243
94,244202
95,211155
96,224680
97,215799
98,233473
99,218913
100,232878
101,230008
102,204218
103,221824
104,226039
105,200778
106,229509
107,215304
108,222124
109,228995
110,206501
111,227070
112,209241
113,182999
114,202666
115,197310
116,189856
117,187947
118,226088
119,185665
120,228164
121,194786
122,207747
123,177272
124,192979
125,190092
126,219154
127,196978
128,189689
129,170135
130,183784
131,231584
132,198725
133,216307
134,203165
135,202223
136,233396
137,187274
138,217890
139,174373
140,186832
141,209396
142,186137
143,187803
144,182297
145,165860
146,226399
147,203773
148,210142
149,175648
150,203882
151,238057
152,225899
153,181760
154,174853
155,198495
156,231910
157,174706
158,194065
159,231413
160,218224
161,214161
162,178582
163,173042
164,171257
165,216846
166,280872
167,207010
168,197608
169,191229
170,226023
171,252690
172,176702
173,168261
174,173475
175,234532
176,197344
177,206283
178,199430
179,209819
180,187943
181,218175
182,186138
183,180091
184,151392
185,195088
186,194037
187,228385
188,220332
189,226275
190,248571
191,170905
192,232883
193,214260
194,226148
195,196079
196,247126
197,184510
198,208583
199,213112
200,212414
201,207387
202,176487
203,220957
204,206523
205,206249
206,235789
207,225745
208,236423
209,210296
210,253993
211,263290
212,194259
213,229985
214,164326
215,182940
216,254135
217,220481
218,230690
219,170116
220,178239
221,217586
222,240168
223,250677
224,224972
225,191545
226,216839
227,249958
228,248842
229,243806
230,204432
231,171434
232,295527
233,193060
234,190113
235,253142
236,286998
237,270024
238,185988
239,187859
240,270401
241,180534
242,188001
243,183118
244,185199
245,241287
246,241793
247,247290
248,193008
249,192244
250,283052
251,179567
252,282069
253,260582
254,205023
255,165642
256,231913
